Find    TARGET X    TARGET Y    TARGET HEIGHT    TARGET WIDTH    YAW    PITCH    SHOOT    
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
0   0    0    0    0    0    0    0
